id,query,domain,label,label_name,n_tokens,source
00f683abaffb,"What is a p-value, and how is it used to make a decision in hypothesis testing?",Introductory Statistics,0,factual,17,dataset_introductory_statistics.json
027bde0c68e2,"In Svetlana’s tutoring equation y = 25 + 15x, what does x represent?",Introductory Statistics,0,factual,12,dataset_introductory_statistics.json
0286951143c2,"According to the Empirical Rule, approximately what percentage of x values lie within two standard deviations of the mean?",Introductory Statistics,0,factual,19,dataset_introductory_statistics.json
03c9ce088d11,What were the mean and standard deviation of heights for 15–18-year-old males from Chile in 2009–2010?,Introductory Statistics,0,factual,20,dataset_introductory_statistics.json
03e333a43201,"What is a negative correlation, and what does it imply about the relationship between x and y?",Introductory Statistics,0,factual,17,dataset_introductory_statistics.json
046344c34982,"In the CPI example, what is the correlation coefficient r?",Introductory Statistics,0,factual,10,dataset_introductory_statistics.json
046a47129aa0,What is a residual (error) in the context of linear regression?,Introductory Statistics,0,factual,11,dataset_introductory_statistics.json
046c50e255de,"In the Facebook usage example, the percentage of users who check Facebook before getting out of bed is normally distributed. Explain how the percentile concept (Chapter 6) and the concept of a regression model (Chapter 12) might together be used to segment users into marketing categories.",Introductory Statistics,1,analytical,46,dataset_introductory_statistics.json
046d8ff8304d,"In the linear regression equation for Svetlana’s tutoring, what is the slope?",Introductory Statistics,0,factual,13,dataset_introductory_statistics.json
05cf559faba5,What does it mean when the z-score of a value x is positive versus negative?,Introductory Statistics,0,factual,16,dataset_introductory_statistics.json
0719ca9b7cd8,What is the TI-83/84 calculator command to find cumulative normal probabilities?,Introductory Statistics,0,factual,13,dataset_introductory_statistics.json
07aeb70230e9,How does a regression line with a positive slope differ from one with a negative slope in terms of real-world interpretation?,Introductory Statistics,1,analytical,22,dataset_introductory_statistics.json
07da5fe835f4,"In a regression context, what does it mean for y values to be “normally distributed about the line”?",Introductory Statistics,0,factual,18,dataset_introductory_statistics.json
0842c0d41e0e,What are the z-scores corresponding to ±2 standard deviations from the mean in a standard normal distribution?,Introductory Statistics,0,factual,18,dataset_introductory_statistics.json
